source_file,row_count_raw,row_count_filtered,processed_at
경상남도_함양군_태양광발전소전기사업허가정보_20251111.csv,639,639,2026-02-28T19:01:19+09:00
경상남도_합천군_태양광발전소전기사업허가정보_20251128.csv,1135,1135,2026-02-28T19:01:19+09:00
경상북도_경산시_태양광발전소전기사업허가정보_20251119.csv,1740,1740,2026-02-28T19:01:19+09:00
경상북도_고령군_태양광발전소전기사업허가정보_20250625.csv,501,501,2026-02-28T19:01:19+09:00
경상북도_문경시_태양광발전소전기사업허가정보_20251224.csv,981,981,2026-02-28T19:01:19+09:00
경상북도_봉화군_태양광발전소전기사업허가정보_20241011.csv,725,725,2026-02-28T19:01:19+09:00
경상북도_성주군_태양광발전소전기사업허가정보_20240807.csv,934,934,2026-02-28T19:01:19+09:00
경상북도_안동시_태양광발전소전기사업허가정보_20240924.csv,1912,1912,2026-02-28T19:01:19+09:00
경상북도_영덕군_태양광발전소전기사업허가정보_20241007.csv,165,165,2026-02-28T19:01:19+09:00
경상북도_영양군_태양광발전소전기사업허가정보_20251110.csv,630,630,2026-02-28T19:01:19+09:00
경상북도_영주시_태양광발전소전기사업허가정보_20230818.csv,1133,1133,2026-02-28T19:01:19+09:00
경상북도_영천시_태양광발전소전기사업허가정보_20250508.csv,1546,1546,2026-02-28T19:01:19+09:00
경상북도_예천군_태양광발전소전기사업허가정보_20251209.csv,1700,1700,2026-02-28T19:01:19+09:00
경상북도_울진군_태양광발전소전기사업허가정보_20240725.csv,87,87,2026-02-28T19:01:19+09:00
경상북도_청도군_태양광발전소전기사업허가정보_20250616.csv,226,226,2026-02-28T19:01:19+09:00
경상북도_청송군_태양광발전소전기사업허가정보_20260101.csv,159,159,2026-02-28T19:01:19+09:00
광주광역시_광산구_태양광발전소전기사업허가정보_20250702.csv,1460,1460,2026-02-28T19:01:19+09:00
광주광역시_동구_태양광발전소전기사업허가정보_20241006.csv,32,32,2026-02-28T19:01:19+09:00
광주광역시_북구_태양광발전소전기사업허가정보_20260113.csv,450,450,2026-02-28T19:01:19+09:00
광주광역시_서구_태양광발전소전기사업허가정보_20251114.csv,206,206,2026-02-28T19:01:19+09:00
대구광역시_태양광발전소전기사업허가정보_20251112.csv,2819,2819,2026-02-28T19:01:19+09:00
부산광역시_태양광발전소전기사업허가정보_20221129.csv,643,643,2026-02-28T19:01:19+09:00
서울특별시_강동구_태양광발전소전기사업허가정보_20241008.csv,28,28,2026-02-28T19:01:19+09:00
서울특별시_강서구_태양광발전소전기사업허가정보_20251117.csv,30,30,2026-02-28T19:01:19+09:00
서울특별시_구로구_태양광발전소전기사업허가정보_20241226.csv,37,37,2026-02-28T19:01:19+09:00
서울특별시_동대문구_태양광발전소전기사업허가정보_20240924.csv,33,33,2026-02-28T19:01:19+09:00
서울특별시_서초구_태양광발전소전기사업허가정보_20260106.csv,26,26,2026-02-28T19:01:19+09:00
울산광역시_태양광발전소전기사업허가정보_20240924.csv,663,663,2026-02-28T19:01:19+09:00
인천광역시_태양광발전소전기사업허가정보_20250912.csv,637,637,2026-02-28T19:01:19+09:00
전라남도_강진군_태양광발전소전기사업허가정보_20240930.csv,1017,1017,2026-02-28T19:01:19+09:00
전라남도_고흥군_태양광발전소전기사업허가정보_20241010.csv,1251,1251,2026-02-28T19:01:19+09:00
전라남도_곡성군_태양광발전소전기사업허가정보_20241001.csv,392,392,2026-02-28T19:01:19+09:00
전라남도_구례군_태양광발전소전기사업허가정보_20241007.csv,66,66,2026-02-28T19:01:19+09:00
전라남도_목포시_태양광발전소전기사업허가정보_20250508.csv,566,566,2026-02-28T19:01:19+09:00
전라남도_보성군_태양광발전소전기사업허가정보_20251103.csv,1910,1910,2026-02-28T19:01:19+09:00
전라남도_순천시_태양광발전소전기사업허가정보_20250903.csv,1184,1184,2026-02-28T19:01:19+09:00
전라남도_영광군_태양광발전소전기사업허가정보_20250919.csv,620,620,2026-02-28T19:01:19+09:00
전라남도_영암군_태양광발전소전기사업허가정보_20241018.csv,1851,1851,2026-02-28T19:01:19+09:00
전라남도_완도군_태양광발전소전기사업허가정보_20240830.csv,644,644,2026-02-28T19:01:19+09:00
전라남도_장흥군_태양광발전소전기사업허가정보_20251108.csv,843,843,2026-02-28T19:01:19+09:00
전라남도_진도군_태양광발전소전기사업허가정보_20250905.csv,832,832,2026-02-28T19:01:19+09:00
전라남도_함평군_태양광발전소전기사업허가정보_20251114.csv,245,245,2026-02-28T19:01:19+09:00
전라남도_해남군_태양광발전소전기사업허가정보_20240924.csv,1803,1803,2026-02-28T19:01:19+09:00
전라남도_화순군_태양광발전소전기사업허가정보_20250924.csv,453,453,2026-02-28T19:01:19+09:00
전라북도_완주군_태양광발전소전기사업허가정보_20240129.csv,2312,2312,2026-02-28T19:01:19+09:00
전북특별자치도_고창군_태양광발전소전기사업허가정보_20240522.csv,1634,1634,2026-02-28T19:01:19+09:00
전북특별자치도_남원시_태양광발전소전기사업허가정보_20251103.csv,5652,5652,2026-02-28T19:01:19+09:00
전북특별자치도_무주군_태양광발전소전기사업허가정보_20251119.csv,1003,1003,2026-02-28T19:01:19+09:00
전북특별자치도_부안군_태양광발전소전기사업허가정보_20251103.csv,2422,2422,2026-02-28T19:01:19+09:00
전북특별자치도_익산시_태양광발전소전기사업허가정보_20250924.csv,5092,5092,2026-02-28T19:01:19+09:00
전북특별자치도_임실군_태양광발전소전기사업허가정보_20251103.csv,4444,4444,2026-02-28T19:01:19+09:00
전북특별자치도_장수군_태양광발전소전기사업허가정보_20250328.csv,672,672,2026-02-28T19:01:19+09:00
전북특별자치도_전주시_태양광발전소전기사업허가정보_20240930.csv,1117,1117,2026-02-28T19:01:19+09:00
전북특별자치도_진안군_태양광발전소전기사업허가정보_20250311.csv,2277,2277,2026-02-28T19:01:19+09:00
제주특별자치도_태양광발전소전기사업허가정보_20250915.csv,1813,1813,2026-02-28T19:01:19+09:00
충청남도_계룡시_태양광발전소전기사업허가정보_20250619.csv,46,46,2026-02-28T19:01:19+09:00
충청남도_금산군_태양광발전소전기사업허가정보_20250411.csv,1505,1505,2026-02-28T19:01:19+09:00
충청남도_논산시_태양광발전소전기사업허가정보_20251228.csv,3035,3035,2026-02-28T19:01:19+09:00
충청남도_당진시_태양광발전소전기사업허가정보_20240901.csv,521,521,2026-02-28T19:01:19+09:00
충청남도_부여군_태양광발전소전기사업허가정보_20251130.csv,1415,1415,2026-02-28T19:01:19+09:00
충청남도_서산시_태양광발전소전기사업허가정보_20250617.csv,2338,2338,2026-02-28T19:01:19+09:00
충청남도_서천군_태양광발전소전기사업허가정보_20251210.csv,1142,1142,2026-02-28T19:01:19+09:00
충청남도_아산시_태양광발전소전기사업허가정보_20250916.csv,1422,1422,2026-02-28T19:01:19+09:00
충청남도_천안시_태양광발전소전기사업허가정보_20250916.csv,1710,1710,2026-02-28T19:01:19+09:00
충청남도_태안군_태양광발전소전기사업허가정보_20241002.csv,412,412,2026-02-28T19:01:19+09:00
충청남도_홍성군_태양광발전소전기사업허가정보_20250207.csv,962,962,2026-02-28T19:01:19+09:00
충청북도_단양군_태양광발전소전기사업허가정보_20251204.csv,308,308,2026-02-28T19:01:19+09:00
충청북도_보은군_태양광발전소전기사업허가정보_20221130.csv,752,752,2026-02-28T19:01:19+09:00
충청북도_옥천군_태양광발전소전기사업허가정보_20250924.csv,1718,1718,2026-02-28T19:01:19+09:00
충청북도_음성군_태양광발전소전기사업허가정보_20240924.csv,967,967,2026-02-28T19:01:19+09:00
충청북도_제천시_태양광발전소전기사업허가정보_20250205.csv,645,645,2026-02-28T19:01:19+09:00
충청북도_증평군_태양광발전소전기사업허가정보_20251103.csv,389,389,2026-02-28T19:01:19+09:00
충청북도_진천군_태양광발전소전기사업허가정보_20250721.csv,829,829,2026-02-28T19:01:19+09:00
충청북도_청주시_태양광발전소전기사업허가정보_20251120.csv,3068,3068,2026-02-28T19:01:19+09:00
충청북도_충주시_태양광발전소전기사업허가정보_20251031.csv,1524,1524,2026-02-28T19:01:19+09:00
