key,uid,title,modified_date,saved_file,updated_at,status
uid:86ed0c07-a98b-4045-9c5c-ba2eb97420eb,86ed0c07-a98b-4045-9c5c-ba2eb97420eb,상세보기 : 전북특별자치도_전주시_태양광발전소전기사업허가정보,2024-10-08,generator_next\source\raw_csv\전북특별자치도_전주시_태양광발전소전기사업허가정보_20240930.csv,2026-02-25T02:22:52,skipped:up_to_date
uid:89020600-3ec7-499a-ad6d-9881860dca3a,89020600-3ec7-499a-ad6d-9881860dca3a,상세보기 : 경상남도_의령군_태양광발전소전기사업허가정보,2025-12-02,generator_next\source\raw_csv\경상남도_의령군_태양광발전소전기사업허가정보_20251201.csv,2026-02-25T02:22:00,ok
uid:8bc7c2a2-ab1d-49f2-86a7-d5a9b1862fd3,8bc7c2a2-ab1d-49f2-86a7-d5a9b1862fd3,상세보기 : 경상남도_함양군_태양광발전소전기사업허가정보,2025-11-18,generator_next\source\raw_csv\경상남도_함양군_태양광발전소전기사업허가정보_20251111.csv,2026-02-25T02:22:08,ok
uid:8c0c6672-b04e-4476-a7ba-d9bc39c9befd,8c0c6672-b04e-4476-a7ba-d9bc39c9befd,상세보기 : 경기도_용인시_태양광발전소전기사업허가정보,2025-07-24,generator_next\source\raw_csv\경기도_용인시_태양광발전소전기사업허가정보_20250722.csv,2026-02-25T02:22:30,ok
uid:8c3e79c4-ea70-41be-9377-e1b0477a4229,8c3e79c4-ea70-41be-9377-e1b0477a4229,상세보기 : 강원특별자치도_강릉시_태양광발전소전기사업허가정보,2025-11-21,generator_next\source\raw_csv\강원특별자치도_강릉시_태양광발전소전기사업허가정보_20251119.csv,2026-02-25T02:22:05,ok
uid:8e61ae09-5aaf-40de-8fa9-f3b4bc69851f,8e61ae09-5aaf-40de-8fa9-f3b4bc69851f,상세보기 : 전라남도_해남군_태양광발전소전기사업허가정보,2024-09-25,generator_next\source\raw_csv\전라남도_해남군_태양광발전소전기사업허가정보_20240924.csv,2026-02-25T02:22:57,skipped:up_to_date
uid:8ea39fde-abf5-4816-a920-bfe90c47af57,8ea39fde-abf5-4816-a920-bfe90c47af57,상세보기 : 충청북도_진천군_태양광발전소전기사업허가정보,2025-07-24,generator_next\source\raw_csv\충청북도_진천군_태양광발전소전기사업허가정보_20250721.csv,2026-02-25T02:22:29,skipped:up_to_date
uid:94219f93-8161-49e7-bcb7-f50fcc7207b7,94219f93-8161-49e7-bcb7-f50fcc7207b7,상세보기 : 전라남도_완도군_태양광발전소전기사업허가정보,2024-09-24,generator_next\source\raw_csv\전라남도_완도군_태양광발전소전기사업허가정보_20240830.csv,2026-02-25T02:23:01,ok
uid:9ab0c550-2a53-4ada-b2ba-909836115261,9ab0c550-2a53-4ada-b2ba-909836115261,상세보기 : 충청북도_증평군_태양광발전소전기사업허가정보,2025-11-11,generator_next\source\raw_csv\충청북도_증평군_태양광발전소전기사업허가정보_20251103.csv,2026-02-25T02:22:11,ok
uid:9d99fc1b-94b7-4823-9858-f621cf0cdf80,9d99fc1b-94b7-4823-9858-f621cf0cdf80,상세보기 : 충청북도_제천시_태양광발전소전기사업허가정보,2025-03-06,generator_next\source\raw_csv\충청북도_제천시_태양광발전소전기사업허가정보_20250205.csv,2026-02-25T02:22:42,ok
uid:a0be5a20-c62c-484d-999c-d3c612bf5458,a0be5a20-c62c-484d-999c-d3c612bf5458,상세보기 : 충청북도_음성군_태양광발전소전기사업허가정보,2024-09-25,generator_next\source\raw_csv\충청북도_음성군_태양광발전소전기사업허가정보_20240924.csv,2026-02-25T02:22:59,skipped:up_to_date
uid:a2063f7e-6247-4540-b273-d6e9838fcb33,a2063f7e-6247-4540-b273-d6e9838fcb33,상세보기 : 경상북도_고령군_태양광발전소전기사업허가정보,2025-07-04,generator_next\source\raw_csv\경상북도_고령군_태양광발전소전기사업허가정보_20250625.csv,2026-02-25T02:22:32,skipped:up_to_date
uid:a3aae110-2cd9-4de2-9c47-c7cbd5deeb58,a3aae110-2cd9-4de2-9c47-c7cbd5deeb58,상세보기 : 전라남도_구례군_태양광발전소전기사업허가정보,2024-10-07,generator_next\source\raw_csv\전라남도_구례군_태양광발전소전기사업허가정보_20241007.csv,2026-02-25T02:22:56,skipped:up_to_date
uid:a4ca9b9a-add4-4412-bff7-d993fe0edfdc,a4ca9b9a-add4-4412-bff7-d993fe0edfdc,상세보기 : 경상남도_김해시_태양광발전소전기사업허가정보,2025-09-10,generator_next\source\raw_csv\경상남도_김해시_태양광발전소전기사업허가정보_20250908.csv,2026-02-25T02:22:25,skipped:up_to_date
