index,page,page_index,uid,title,modified_date,status,saved_file,detail_onclick,download_onclick
80,17,0,57cf8cef-37f3-4e19-8348-e7e23e3ed227,상세보기 : 경상북도_청도군_태양광발전소전기사업허가정보,2025-06-16,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:57cf8cef-37f3-4e19-8348-e7e23e3ed227'),
81,17,1,e1e19f03-f0d9-4588-bfb5-f80056030f35,상세보기 : 경기도_안산시_태양광발전소전기사업허가정보,2025-06-11,ok,generator_next\source\raw_csv\경기도_안산시_태양광발전소전기사업허가정보_20250610.csv,stdObj.fn_fileDataDetail('uddi:e1e19f03-f0d9-4588-bfb5-f80056030f35'),"fn_fileDataDown('15107742', 'uddi:e1e19f03-f0d9-4588-bfb5-f80056030f35', 'FILE_000000003155135', '1', 'csv')"
82,17,2,b006469e-27c8-48c8-a493-cff575ef1572,상세보기 : 충청남도_금산군_태양광발전소전기사업허가정보,2025-06-02,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:b006469e-27c8-48c8-a493-cff575ef1572'),
83,17,3,cba14ccd-d467-46d5-b906-86c5c78cb4b6,상세보기 : 경기도_가평군_태양광발전소전기사업허가정보,2025-05-23,ok,generator_next\source\raw_csv\경기도_가평군_태양광발전소전기사업허가정보_20250521.csv,stdObj.fn_fileDataDetail('uddi:cba14ccd-d467-46d5-b906-86c5c78cb4b6'),"fn_fileDataDown('15107742', 'uddi:cba14ccd-d467-46d5-b906-86c5c78cb4b6', 'FILE_000000003141103', '1', 'csv')"
84,17,4,2efe766d-ca0a-4929-9455-b9f0d1aa0f00,상세보기 : 경상북도_영천시_태양광발전소전기사업허가정보,2025-05-22,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:2efe766d-ca0a-4929-9455-b9f0d1aa0f00'),
85,18,0,db0b9cfa-3847-47b4-bb1c-b4d264a4a227,상세보기 : 전라남도_목포시_태양광발전소전기사업허가정보,2025-05-12,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:db0b9cfa-3847-47b4-bb1c-b4d264a4a227'),
86,18,1,fcb30f2e-8d6b-4507-aed1-e514d32814d5,상세보기 : 강원특별자치도_화천군_태양광발전소전기사업허가정보,2025-04-04,ok,generator_next\source\raw_csv\강원특별자치도_화천군_태양광발전소전기사업허가정보_20250326.csv,stdObj.fn_fileDataDetail('uddi:fcb30f2e-8d6b-4507-aed1-e514d32814d5'),"fn_fileDataDown('15107742', 'uddi:fcb30f2e-8d6b-4507-aed1-e514d32814d5', 'FILE_000000003117019', '1', 'csv')"
87,18,2,c5b77ceb-303e-4029-9f3f-862671ee263a,상세보기 : 전북특별자치도_장수군_태양광발전소전기사업허가정보,2025-03-28,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:c5b77ceb-303e-4029-9f3f-862671ee263a'),
88,18,3,dd1d75ef-19ce-4326-bff8-a2f5d48a6233,상세보기 : 충청남도_홍성군_태양광발전소전기사업허가정보,2025-03-20,ok,generator_next\source\raw_csv\충청남도_홍성군_태양광발전소전기사업허가정보_20250207.csv,stdObj.fn_fileDataDetail('uddi:dd1d75ef-19ce-4326-bff8-a2f5d48a6233'),"fn_fileDataDown('15107742', 'uddi:dd1d75ef-19ce-4326-bff8-a2f5d48a6233', 'FILE_000000003096119', '1', 'csv')"
89,18,4,6cd000f0-1583-469c-92e2-cd1228b2d2d8,상세보기 : 강원특별자치도_원주시_태양광발전소전기사업허가정보,2025-03-20,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:6cd000f0-1583-469c-92e2-cd1228b2d2d8'),
90,19,0,afa4c4cc-ce0e-46bd-be03-fb73445c3b78,상세보기 : 전북특별자치도_진안군_태양광발전소전기사업허가정보,2025-03-14,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:afa4c4cc-ce0e-46bd-be03-fb73445c3b78'),
91,19,1,9d99fc1b-94b7-4823-9858-f621cf0cdf80,상세보기 : 충청북도_제천시_태양광발전소전기사업허가정보,2025-03-06,ok,generator_next\source\raw_csv\충청북도_제천시_태양광발전소전기사업허가정보_20250205.csv,stdObj.fn_fileDataDetail('uddi:9d99fc1b-94b7-4823-9858-f621cf0cdf80'),"fn_fileDataDown('15107742', 'uddi:9d99fc1b-94b7-4823-9858-f621cf0cdf80', 'FILE_000000003094692', '1', 'csv')"
92,19,2,04c2d71c-d62f-464d-9d80-b59aeae44110,상세보기 : 경기도_부천시_태양광발전소전기사업허가정보,2025-02-10,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:04c2d71c-d62f-464d-9d80-b59aeae44110'),
93,19,3,7833727c-72c6-420e-bad1-d5f61a6135e0,상세보기 : 강원특별자치도_고성군_태양광발전소전기사업허가정보,2025-02-03,ok,generator_next\source\raw_csv\강원특별자치도_고성군_태양광발전소전기사업허가정보_20250203.csv,stdObj.fn_fileDataDetail('uddi:7833727c-72c6-420e-bad1-d5f61a6135e0'),"fn_fileDataDown('15107742', 'uddi:7833727c-72c6-420e-bad1-d5f61a6135e0', 'FILE_000000003093660', '1', 'csv')"
94,19,4,22b5075d-d014-4547-a972-8ed978c25561,상세보기 : 경기도_남양주시_태양광발전소전기사업허가정보,2025-01-22,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:22b5075d-d014-4547-a972-8ed978c25561'),
95,20,0,6b6d2288-1a6d-4605-b8d2-fab902f1f899,상세보기 : 경상남도_산청군_태양광발전소전기사업허가정보,2024-12-30,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:6b6d2288-1a6d-4605-b8d2-fab902f1f899'),
96,20,1,440140fa-020c-4240-9b0d-bb0344bae5f3,상세보기 : 서울특별시_구로구_태양광발전소전기사업허가정보,2024-12-26,ok,generator_next\source\raw_csv\서울특별시_구로구_태양광발전소전기사업허가정보_20241226.csv,stdObj.fn_fileDataDetail('uddi:440140fa-020c-4240-9b0d-bb0344bae5f3'),"fn_fileDataDown('15107742', 'uddi:440140fa-020c-4240-9b0d-bb0344bae5f3', 'FILE_000000003082652', '1', 'csv')"
97,20,2,3c7424ba-81fa-4cd9-b991-a823b0634ac4,상세보기 : 강원특별자치도_영월군_태양광발전소전기사업허가정보,2024-12-24,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:3c7424ba-81fa-4cd9-b991-a823b0634ac4'),
98,20,3,dc9b9851-a0ff-40bd-914c-b13268764d74,상세보기 : 강원특별자치도_양양군_태양광발전소전기사업허가정보,2024-12-12,ok,generator_next\source\raw_csv\강원특별자치도_양양군_태양광발전소전기사업허가정보_20241126.csv,stdObj.fn_fileDataDetail('uddi:dc9b9851-a0ff-40bd-914c-b13268764d74'),"fn_fileDataDown('15107742', 'uddi:dc9b9851-a0ff-40bd-914c-b13268764d74', 'FILE_000000003061984', '1', 'csv')"
99,20,4,6e23fe00-abdf-4835-83b1-aab5f8e1b095,상세보기 : 전라남도_영암군_태양광발전소전기사업허가정보,2024-10-23,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:6e23fe00-abdf-4835-83b1-aab5f8e1b095'),
100,21,0,497d4a1f-50b1-47db-b2d3-9b23d178652f,상세보기 : 전라남도_강진군_태양광발전소전기사업허가정보,2024-10-16,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:497d4a1f-50b1-47db-b2d3-9b23d178652f'),
101,21,1,bc49fae7-fec8-44a6-b776-fd534a1b64fa,상세보기 : 경상북도_봉화군_태양광발전소전기사업허가정보,2024-10-11,ok,generator_next\source\raw_csv\경상북도_봉화군_태양광발전소전기사업허가정보_20241011.csv,stdObj.fn_fileDataDetail('uddi:bc49fae7-fec8-44a6-b776-fd534a1b64fa'),"fn_fileDataDown('15107742', 'uddi:bc49fae7-fec8-44a6-b776-fd534a1b64fa', 'FILE_000000003042129', '1', 'csv')"
102,21,2,743107bb-ca20-457b-86f0-b6927851a832,상세보기 : 경기도_양주시_태양광발전소전기사업허가정보,2024-10-11,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:743107bb-ca20-457b-86f0-b6927851a832'),
