sido_code,sido_name,gugun_code,gugun_name,station_count,capacity_mw,generation_mwh,station_count_ratio_pct,capacity_ratio_pct,generation_ratio_pct,collected_at
29,광주광역시,29140,서구,244,22,"20,626",9.6,5.6,6.7,2026-02-14T23:08:21.279293
29,광주광역시,29155,남구,115,14,"8,536",4.5,3.5,2.8,2026-02-14T23:08:21.279293
29,광주광역시,29170,북구,535,60,"45,612",21.1,15,14.8,2026-02-14T23:08:21.279293
29,광주광역시,29200,광산구,"1,599",295,"226,126",63.1,74.2,73.5,2026-02-14T23:08:21.279293
30,대전광역시,30110,동구,139,10,"6,143",17,13.9,11,2026-02-14T23:08:21.279293
30,대전광역시,30140,중구,87,4,"3,479",10.6,5.9,6.2,2026-02-14T23:08:21.279293
30,대전광역시,30170,서구,143,6,"5,119",17.5,7.8,9.2,2026-02-14T23:08:21.279293
30,대전광역시,30200,유성구,184,22,"17,726",22.5,29.9,31.8,2026-02-14T23:08:21.279293
30,대전광역시,30230,대덕구,266,31,"23,321",32.5,42.4,41.8,2026-02-14T23:08:21.279293
31,울산광역시,31110,중구,14,0,375,1.4,0.2,0.3,2026-02-14T23:08:21.279293
31,울산광역시,31140,남구,102,25,"15,805",10.4,13.3,13.7,2026-02-14T23:08:21.279293
31,울산광역시,31170,동구,26,1,545,2.6,0.8,0.5,2026-02-14T23:08:21.279293
31,울산광역시,31200,북구,220,54,"20,365",22.4,28.6,17.7,2026-02-14T23:08:21.279293
31,울산광역시,31710,울주군,621,108,"77,889",63.2,57.2,67.7,2026-02-14T23:08:21.279293
36,세종특별자치시,36110,세종시,696,98,"79,051",100,100,100,2026-02-14T23:08:21.279293
41,경기도,41110,수원시,155,14,"10,606",0.8,0.6,0.6,2026-02-14T23:08:21.279293
41,경기도,41130,성남시,38,4,"4,266",0.2,0.2,0.3,2026-02-14T23:08:21.279293
41,경기도,41150,의정부시,47,7,"6,260",0.2,0.3,0.4,2026-02-14T23:08:21.279293
41,경기도,41170,안양시,29,2,"1,630",0.1,0.1,0.1,2026-02-14T23:08:21.279293
41,경기도,41190,부천시,31,2,"2,330",0.2,0.1,0.1,2026-02-14T23:08:21.279293
