orig_idx,SIG_CD,SIG_KOR_NM
307,41270,안산시 상록구
308,41150,의정부시
309,51730,횡성군
310,41110,수원시 영통구
310,41110,수원시
311,41480,파주시
312,41270,안산시
312,41270,안산시 상록구
313,41270,안산시
313,41270,안산시 상록구
314,41270,안산시 단원구
314,41270,안산시
315,30140,중구
316,41110,수원시 영통구
316,41110,수원시
317,50130,서귀포시
318,43110,청주시
318,43110,청주시 청원구
319,43110,청주시 상당구
319,43110,청주시
320,43760,괴산군
321,41450,하남시
322,11305,강북구
323,,
324,11710,송파구
325,44200,아산시
326,44133,천안시 서북구
327,48820,고성군
328,51230,삼척시
329,41410,군포시
330,11470,양천구
331,27260,수성구
332,52800,부안군
333,27170,서구
334,27290,달서구
335,44131,천안시 동남구
336,52130,군산시
337,47190,구미시
338,51750,영월군
339,43110,청주시
339,43110,청주시 청원구
340,48740,창녕군
341,52130,군산시
342,36110,세종특별자치시
343,44270,당진시
344,44270,당진시
345,44270,당진시
346,44200,아산시
347,47111,포항시 남구
348,47113,포항시 북구
349,41570,김포시
350,11200,성동구
351,47730,의성군
352,47190,구미시
353,29200,광산구
354,41570,김포시
355,47750,청송군
356,48860,산청군
357,48250,김해시
358,48120,창원시 성산구
358,48120,창원시
359,26530,사상구
360,26290,남구
361,48720,의령군
362,48170,진주시
363,48170,진주시
364,48890,합천군
365,48860,산청군
366,48170,진주시
367,48240,사천시
368,48170,진주시
369,48240,사천시
370,41630,양주시
371,41480,파주시
372,41460,용인시 처인구
372,41460,용인시
373,41820,가평군
374,41280,고양시 덕양구
374,41280,고양시
375,41280,고양시 덕양구
375,41280,고양시
376,41280,고양시 일산서구
376,41280,고양시
377,41800,연천군
378,41480,파주시
379,41480,파주시
380,41460,용인시
380,41460,용인시 수지구
381,28237,부평구
382,36110,세종특별자치시
383,51750,영월군
384,44800,홍성군
385,44210,서산시
386,44180,보령시
387,44150,공주시
388,44800,홍성군
389,44810,예산군
390,31110,중구
391,51150,강릉시
392,51810,인제군
393,51720,홍천군
394,51810,인제군
395,51800,양구군
