sido_code,sido_name,gugun_code,gugun_name,cnt,inst_capa,gelec_qty,cnt_ratio,capa_ratio,gelec_diff
41,경기도,41250,동두천시,101,"12,168",14.38,0.5,0.5,-0.65
41,경기도,41270,안산시,441,"60,557",15.42,2.2,2.6,0.39
41,경기도,41280,고양시,490,"44,480",14.72,2.5,1.9,-0.31
41,경기도,41290,과천시,3,225,14.69,0.0,0.0,-0.34
41,경기도,41310,구리시,18,"1,284",13.38,0.1,0.1,-1.65
41,경기도,41360,남양주시,335,"33,110",14.47,1.7,1.4,-0.56
41,경기도,41370,오산시,69,"9,433",14.92,0.4,0.4,-0.11
41,경기도,41390,시흥시,444,"65,773",15.86,2.3,2.8,0.83
41,경기도,41410,군포시,25,"9,621",14.47,0.1,0.4,-0.56
41,경기도,41430,의왕시,16,"1,366",13.72,0.1,0.1,-1.31
41,경기도,41450,하남시,51,"3,610",13.36,0.3,0.2,-1.67
41,경기도,41460,용인시,502,"54,072",14.5,2.6,2.3,-0.53
41,경기도,41480,파주시,"1,329","140,832",14.98,6.8,6.1,-0.05
41,경기도,41500,이천시,"1,343","181,189",14.84,6.8,7.8,-0.19
41,경기도,41550,안성시,"2,082","245,477",15.45,10.6,10.6,0.42
41,경기도,41570,김포시,"1,415","124,787",15.59,7.2,5.4,0.56
41,경기도,41590,화성시,"2,909","316,349",15.42,14.8,13.7,0.39
41,경기도,41610,광주시,552,"54,574",14.29,2.8,2.4,-0.74
41,경기도,41630,양주시,672,"63,755",14.93,3.4,2.8,-0.10
41,경기도,41650,포천시,"1,732","203,186",14.68,8.8,8.8,-0.35
41,경기도,41670,여주시,"1,588","200,416",14.77,8.1,8.7,-0.26
41,경기도,41800,연천군,970,"209,794",14.68,4.9,9.1,-0.35
41,경기도,41820,가평군,400,"43,285",13.53,2.0,1.9,-1.50
41,경기도,41830,양평군,590,"35,647",14.21,3.0,1.5,-0.82
43,충청북도,43110,청주시,"3,381","380,694",15.59,22.6,21.5,0.32
43,충청북도,43130,충주시,"1,676","179,625",14.42,11.2,10.2,-0.85
43,충청북도,43150,제천시,"1,058","117,886",14.58,7.1,6.7,-0.69
43,충청북도,43720,보은군,"1,176","138,779",15.67,7.9,7.8,0.40
43,충청북도,43730,옥천군,"1,592","164,338",15.83,10.6,9.3,0.56
43,충청북도,43740,영동군,"1,460","153,644",15.89,9.7,8.7,0.62
43,충청북도,43750,진천군,"1,071","149,462",15.13,7.2,8.4,-0.14
43,충청북도,43760,괴산군,"1,229","147,664",14.81,8.2,8.3,-0.46
43,충청북도,43770,음성군,"1,775","246,652",15.3,11.9,13.9,0.03
43,충청북도,43800,단양군,546,"92,014",14.16,3.6,5.2,-1.11
44,충청남도,44130,천안시,"2,413","292,349",15.91,9.6,7.0,0.07
44,충청남도,44150,공주시,"2,074","209,833",15.24,8.3,5.0,-0.60
44,충청남도,44180,보령시,"1,410","206,203",15.98,5.6,4.9,0.14
44,충청남도,44200,아산시,"1,858","265,994",16.08,7.4,6.4,0.24
44,충청남도,44210,서산시,"1,669","534,668",15.72,6.7,12.8,-0.12
44,충청남도,44230,논산시,"3,268","353,339",15.97,13.0,8.5,0.13
44,충청남도,44250,계룡시,48,"4,291",15.95,0.2,0.1,0.11
44,충청남도,44270,당진시,"1,963","476,167",15.86,7.8,11.4,0.02
44,충청남도,44710,금산군,"1,750","210,825",16.02,7.0,5.1,0.18
44,충청남도,44760,부여군,"1,793","248,493",15.76,7.2,6.0,-0.08
44,충청남도,44770,서천군,"1,780","197,407",16.71,7.1,4.7,0.87
44,충청남도,44790,청양군,748,"71,456",14.68,3.0,1.7,-1.16
44,충청남도,44800,홍성군,"1,388","190,360",15.58,5.5,4.6,-0.26
44,충청남도,44810,예산군,"1,900","214,880",15.78,7.6,5.2,-0.06
44,충청남도,44825,태안군,986,"698,272",15.72,3.9,16.8,-0.12
46,전라남도,46110,목포시,428,"67,701",16.97,1.6,1.1,0.63
46,전라남도,46130,여수시,791,"112,311",17.03,2.9,1.8,0.69
46,전라남도,46150,순천시,"1,739","301,121",15.79,6.5,4.8,-0.55
46,전라남도,46170,나주시,"2,807","471,553",16.19,10.5,7.5,-0.15
46,전라남도,46230,광양시,918,"200,337",15.9,3.4,3.2,-0.44
46,전라남도,46710,담양군,"1,037","100,671",15.77,3.9,1.6,-0.57
46,전라남도,46720,곡성군,633,"81,661",14.78,2.4,1.3,-1.56
46,전라남도,46730,구례군,216,"20,056",14.98,0.8,0.3,-1.36
46,전라남도,46770,고흥군,"2,098","537,339",16.72,7.8,8.6,0.38
46,전라남도,46780,보성군,"1,055","202,654",16.06,3.9,3.2,-0.28
46,전라남도,46790,화순군,"1,441","206,149",15.42,5.4,3.3,-0.92
46,전라남도,46800,장흥군,"1,141","154,317",16.18,4.3,2.5,-0.16
46,전라남도,46810,강진군,"1,266","215,793",16.31,4.7,3.5,-0.03
46,전라남도,46820,해남군,"2,260","626,144",17.08,8.4,10.0,0.74
46,전라남도,46830,영암군,"2,436","548,431",16.79,9.1,8.8,0.45
46,전라남도,46840,무안군,"1,336","335,856",16.28,5.0,5.4,-0.06
46,전라남도,46860,함평군,988,"141,997",15.9,3.7,2.3,-0.44
46,전라남도,46870,영광군,980,"563,755",16.63,3.7,9.0,0.29
46,전라남도,46880,장성군,"1,088","156,657",15.74,4.1,2.5,-0.60
46,전라남도,46890,완도군,849,"91,422",17.49,3.2,1.5,1.15
46,전라남도,46900,진도군,774,"117,281",16.88,2.9,1.9,0.54
46,전라남도,46910,신안군,541,"993,341",17.41,2.0,15.9,1.07
47,경상북도,47110,포항시,842,"144,816",16.86,2.7,3.4,0.28
47,경상북도,47130,경주시,"1,937","292,523",16.85,6.2,6.9,0.27
47,경상북도,47150,김천시,"2,264","323,202",16.59,7.3,7.6,0.01
47,경상북도,47170,안동시,"2,620","347,143",16.74,8.4,8.1,0.16
47,경상북도,47190,구미시,"2,174","270,707",16.85,7.0,6.4,0.27
47,경상북도,47210,영주시,"1,743","220,259",15.98,5.6,5.2,-0.60
47,경상북도,47230,영천시,"2,275","284,010",16.8,7.3,6.7,0.22
47,경상북도,47250,상주시,"3,140","476,809",16.5,10.1,11.2,-0.08
47,경상북도,47280,문경시,"1,115","149,186",16.09,3.6,3.5,-0.49
47,경상북도,47290,경산시,"1,871","237,687",17.07,6.0,5.6,0.49
27,경상북도,27720,군위군,809,"145,892",16.24,21.9,28.9,-0.56
47,경상북도,47730,의성군,"1,797","317,180",16.54,5.8,7.4,-0.04
47,경상북도,47750,청송군,443,"34,939",16.26,1.4,0.8,-0.32
47,경상북도,47760,영양군,893,"140,034",16.57,2.9,3.3,-0.01
47,경상북도,47770,영덕군,949,"169,242",17.0,3.0,4.0,0.42
47,경상북도,47820,청도군,667,"57,803",16.52,2.1,1.4,-0.06
47,경상북도,47830,고령군,750,"74,538",16.62,2.4,1.7,0.04
47,경상북도,47840,성주군,"1,066","120,672",15.64,3.4,2.8,-0.94
47,경상북도,47850,칠곡군,"1,605","188,629",16.73,5.1,4.4,0.15
47,경상북도,47900,예천군,"1,959","251,245",16.64,6.3,5.9,0.06
47,경상북도,47920,봉화군,939,"140,901",15.68,3.0,3.3,-0.90
47,경상북도,47930,울진군,118,"16,967",16.1,0.4,0.4,-0.48
48,경상남도,48120,창원시,944,"203,930",16.35,5.9,9.0,0.29
48,경상남도,48170,진주시,"1,217","158,219",16.06,7.6,7.0,0.00
48,경상남도,48220,통영시,144,"26,710",16.37,0.9,1.2,0.31
48,경상남도,48240,사천시,919,"134,292",16.71,5.8,5.9,0.65
48,경상남도,48250,김해시,"1,614","220,071",16.34,10.1,9.7,0.28
48,경상남도,48270,밀양시,"1,229","124,525",15.99,7.7,5.5,-0.07
48,경상남도,48310,거제시,244,"13,435",15.99,1.5,0.6,-0.07
48,경상남도,48330,양산시,403,"60,235",16.29,2.5,2.7,0.23
48,경상남도,48720,의령군,489,"116,736",15.51,3.1,5.2,-0.55
48,경상남도,48730,함안군,942,"142,468",16.05,5.9,6.3,-0.01
48,경상남도,48740,창녕군,853,"149,064",16.18,5.4,6.6,0.12
48,경상남도,48820,고성군,606,"97,635",16.15,3.8,4.3,0.09
48,경상남도,48840,남해군,"1,076","88,137",16.55,6.8,3.9,0.49
48,경상남도,48850,하동군,"1,231","159,961",15.63,7.7,7.1,-0.43
48,경상남도,48860,산청군,659,"92,974",14.97,4.1,4.1,-1.09
48,경상남도,48870,함양군,770,"83,728",16.28,4.8,3.7,0.22
48,경상남도,48880,거창군,"1,201","160,837",16.2,7.5,7.1,0.14
48,경상남도,48890,합천군,"1,371","228,083",15.56,8.6,10.1,-0.50
50,제주특별자치도,50110,제주시,"1,050","281,742",16.03,54.9,41.8,-0.12
50,제주특별자치도,50130,서귀포시,863,"391,956",16.29,45.1,58.2,0.14
51,강원특별자치도,51110,춘천시,793,"98,025",14.38,6.9,4.8,-0.24
51,강원특별자치도,51130,원주시,"1,527","191,692",14.75,13.2,9.4,0.13
51,강원특별자치도,51150,강릉시,685,"110,369",15.11,5.9,5.4,0.49
51,강원특별자치도,51170,동해시,114,"26,050",15.15,1.0,1.3,0.53
51,강원특별자치도,51190,태백시,127,"69,647",14.83,1.1,3.4,0.21
51,강원특별자치도,51210,속초시,76,"6,055",15.45,0.7,0.3,0.83
51,강원특별자치도,51230,삼척시,472,"154,734",14.86,4.1,7.6,0.24
51,강원특별자치도,51720,홍천군,"1,593","189,536",14.49,13.8,9.3,-0.13
51,강원특별자치도,51730,횡성군,796,"103,593",14.52,6.9,5.1,-0.10
51,강원특별자치도,51750,영월군,497,"126,607",14.39,4.3,6.2,-0.23
51,강원특별자치도,51760,평창군,696,"192,128",14.6,6.0,9.5,-0.02
