region_1depth_name,region_2depth_name,b_count,b_capacity_MW,전년도발전용량,
경북,의성군,1752,309,356027,
경북,경산시,1389,182,155006,
경북,봉화군,903,138,152272,
경북,김천시,1956,268,287538,
경북,청도군,546,47,38614,
경북,경주시,1399,218,181403,
경북,상주시,3048,456,527292,
경북,칠곡군,1206,143,134115,
경북,구미시,1778,228,261409,
경북,청송군,426,35,42194,
경북,포항시,711,122,107568,
경북,안동시,2319,266,276110,
경북,울진군,114,16,18455,
경북,성주군,834,94,100481,
경남,함안군,708,110,87432,
경남,합천군,1333,224,270113,
경남,함양군,719,78,87665,
경남,김해시,1054,156,120613,
경남,밀양시,991,99,92429,
경남,의령군,424,104,112082,
경남,양산시,285,43,36677,
경남,고성군,499,80,86190,
경남,남해군,951,78,78948,
경남,통영시,116,25,28262,
경남,창녕군,688,116,107683,
경남,산청군,639,92,107572,
경남,사천시,807,115,122613,
경남,창원시,699,152,141410,
경남,하동군,1153,151,186257,
경남,거제시,187,10,9785,
경남,거창군,1168,150,166959,
경남,진주시,939,116,97299,
제주특별자치도,서귀포시,779,309,362979,
제주특별자치도,제주시,944,249,285533,
